Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-7.522983688406816,-7.522983688406816,-7.522983688406816,-7.522983688406816,-7.522983688406816
vector sum y,3.779596469116169,3.779596469116169,3.779596469116169,3.779596469116169,3.779596469116169
vector sum z,7.664945306185758,7.664945306185758,7.664945306185758,7.664945306185758,7.664945306185758
vector sum norm,11.38560580699198,11.38560580699198,11.38560580699198,11.38560580699198,11.38560580699198
total N,3389.0,3389.0,3389.0,3389.0,3389.0
mean,848.7836257309941,496.2456140350877,229.01461988304092,128.5,83.7046783625731
median,847.5,497.0,229.5,129.0,84.0
variance,186.78359153243733,169.79932286857493,126.1079733935228,80.13888888888889,52.05021203105228
stdev,13.666879363352752,13.030706921290761,11.229780647613861,8.952032667997189,7.21458328880139
normalized stdev,0.016101723630191956,0.02625858355771666,0.04903521291937159,0.0696656238754645,0.08619092062633442
