Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-26.998663283363403,-26.998663283363403,-26.998663283363403,-26.998663283363403,-26.998663283363403
vector sum y,-187.32668214880837,-187.32668214880837,-187.32668214880837,-187.32668214880837,-187.32668214880837
vector sum z,-82.74292244906074,-82.74292244906074,-82.74292244906074,-82.74292244906074,-82.74292244906074
vector sum norm,206.55896223446803,206.55896223446803,206.55896223446803,206.55896223446803,206.55896223446803
total N,8792.0,8792.0,8792.0,8792.0,8792.0
mean,2202.4853801169593,1286.657894736842,592.9970760233919,332.7368421052632,216.53508771929825
median,2216.0,1304.0,599.0,336.0,219.0
variance,5635.050955849663,2950.1841335795634,990.5292312164428,445.8722683902739,231.710757156048
stdev,75.06697646668383,54.31559751654734,31.472674357550915,21.11568773188015,15.222048388966842
normalized stdev,0.03408284892347277,0.04221448276090236,0.05307391154203502,0.06346062431283184,0.07029829922391007
