Metric,PMTSet1,PMTSet2,PMTSet3,PMTSet4,PMTSet5,PMTSet6,PMTSet7,PMTSet8,PMTSet9,PMTSet10,PMTSet11,PMTSet12,PMTSet13,PMTSet14,PMTSet15,PMTSet16,PMTSet17,PMTSet18,PMTSet19,PMTSet20,PMTSet21,PMTSet22,PMTSet23,PMTSet24,PMTSet25,PMTSet26,PMTSet27,PMTSet28,PMTSet29,309434,302640,309504,302159,355216,356009,351884,351847,358123,303334,311222,355145,358230,304616,302948,300515
vector sum x,6966.010000026199,-2857444.5100000137,-5166723.450000007,-6869724.890000016,-8355427.069999975,-9303953.88999999,-9428922.649999987,-8502175.979999986,-6654627.329999964,-4048084.490000018,-651863.4499999956,3097495.400000014,6111186.349999998,8233303.590000004,10290462.43999999,-66034.30999997677,-165421.57999996128,-83528.95999996891,-172684.29999994623,126539.2100000116,28215.919999992588,-300506.0799999808,-144960.23999999798,90644.75000000284,-16223.849999999456,328458.79999998776,86186.64999999845,-63484.320000003376,-345556.29999999906,,,,,,,,,,,,,,,,
vector sum y,-12411.909999979289,-1090238.3799999782,-2336205.379999988,-4025699.339999991,-5948600.430000025,-7891203.750000003,-11206798.240000002,-14223694.400000012,-16385220.200000009,-18383742.479999997,-19763100.260000017,-19216644.13000004,-17679517.019999985,-15667854.010000013,-10035522.469999986,-153091.48000000347,184291.9300000108,-138623.7799999861,-31742.06999999816,-211678.02999996327,96152.46000000516,-9244.31000001276,183596.2400000085,-340715.96999997017,481641.7099999714,-239707.56000001237,-125078.17000000068,31382.089999998243,-154714.5900000042,,,,,,,,,,,,,,,,
vector sum z,-559153.6999999979,210325.90999999992,443309.5199999987,1152899.3700000024,1096581.8,-435975.8999999994,-416947.46999999735,-908969.5400000028,-1574566.359999996,-1468591.1199999924,-604340.7000000019,-109274.67000000452,371316.50999999954,885957.6499999984,-300663.16000000096,-469585.6399999964,-521072.0399999971,-625828.8699999977,-279875.1699999992,-461099.869999997,-102436.76999999429,-469034.0,-231500.9999999992,-441044.08000000106,203934.6299999997,-98265.41999999918,-134934.24000000115,64829.29999999989,-227292.66999999984,,,,,,,,,,,,,,,,
vector sum norm,559334.820146981,3065590.618685333,5687654.184006223,8045405.657747066,10315110.287436392,12207568.537454167,14651646.812713215,16595984.586764602,17754964.520542257,18881359.47136429,19783080.789551843,19464989.861944184,18709617.75706532,17721564.77970763,14376916.4569704,498305.3327428583,576926.2391871001,646417.3683199075,330389.97753697773,522908.070473297,143299.42621493744,557119.6052378082,329110.56428500946,564644.7763139503,523288.910100105,418331.197003484,203174.64500559412,96010.0650823694,441596.7828962158,780.128678293591,1418.7375096242,449.445391702291,758.186178120947,351.835246128141,888.538455712472,913.048627998209,916.237906326353,336.892482883922,951.010902145332,423.648855921333,474.466800758502,327.717310482999,765.651753134377,219.558275018882,216.726961185412
total N,9389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0,5740.0,5569.0,6543.0,6290.0,6788.0,7091.0,7256.0,7261.0,7756.0,7388.0,7572.0,7695.0,7773.0,7505.0,8589.0,8757.0
mean,1374.9093567251462,1313.3567251461989,1255.2105263157894,1197.482456140351,1139.43567251462,1082.8801169590645,1009.59649122807,937.1198830409356,865.7865497076024,792.6023391812865,716.8450292397661,640.7514619883041,566.6286549707602,495.2134502923977,351.406432748538,1316.388888888889,1258.1637426900584,1199.4561403508771,1141.3625730994152,1082.1023391812869,1009.985380116959,935.6754385964912,862.5555555555555,789.0438596491229,715.6374269005848,642.9561403508771,570.1783625730994,496.2456140350877,349.6198830409357,840.830409356725,818.166666666667,961.418128654971,919.821637426901,996.187134502924,1039.78362573099,1060.51754385965,1061.21929824561,1135.01754385965,1085.97368421053,1107.99415204678,1127.33918128655,1137.61988304094,1095.94736842105,1256.86549707602,1281.6783625731
median,1383.0,1373.0,1365.0,1331.5,1308.5,1278.5,1202.5,1109.5,1016.0,864.0,730.0,585.0,452.0,330.5,130.5,1323.0,1264.0,1206.0,1147.0,1086.5,1016.0,937.0,865.5,793.0,717.0,643.0,571.0,497.0,350.5,812.5,747.0,963.5,937.0,996.0,1126.0,1148.5,1149.0,1148.0,1203.5,1132.5,1171.0,1150.0,1166.0,1261.5,1302.0
variance,595.9245323347354,12231.323039567727,35367.265620190825,65895.74092028316,102549.62013098047,137157.81311343663,182885.08864265928,219679.43299647755,240453.99829862177,260518.83601792008,277809.7099021922,270085.689690845,257036.01122567625,238646.89888341716,176793.90206388288,551.9569525666017,664.9614924250196,705.704216682056,558.8568448411477,507.5070705516228,727.9968622824118,473.64612188365646,489.0948667966212,420.60918744229,390.9971957183407,397.4103570329332,327.0997657398858,169.79932286857493,273.88475086351355,51612.3747477857,116893.90497076,34330.2432970829,57297.3570756814,31081.2047467597,53497.2280359769,52739.4134349031,52952.6214989228,10730.0347799323,62481.2244536781,14491.9999658014,18870.3878800315,10503.4052186998,41608.944598338,3786.19243527923,3034.82637392702
stdev,24.41156554452695,110.59531201442368,188.0618664700285,256.701657416315,320.23369612047463,370.34823222669314,427.6506619223911,468.6997258335848,490.36108970698496,510.4104583743559,527.0765692972817,519.697690672996,506.98719039604566,488.5149935093263,420.4686695389835,23.49376412085985,25.786847275791967,26.565093952065293,23.64015323218417,22.52791758133944,26.981416980625976,21.76341245953071,22.11548929588991,20.50875879818889,19.7736490238484,19.93515380008224,18.08589963866564,13.03070692129076,16.549463763624292,227.183570593883,341.897506529018,185.28422301179,239.36866352069,176.298623780107,231.294677924022,229.650633430224,230.114366128938,103.58588118046,249.962446086763,120.382722870857,137.369530391683,102.486122078552,203.982706615874,61.532043971245,55.0892582444801
normalized stdev,0.0177550363048456,0.0842081286042926,0.1498249596599665,0.2143677814234535,0.2810458754672399,0.3420029848425902,0.4235857252259248,0.5001491637469727,0.5663764236954155,0.6439678930314299,0.7352726848873612,0.8110753100122966,0.8947432960696415,0.986473596831596,1.1965309406839046,0.0178471303724615,0.0204956210394821,0.0221476159555898,0.020712220454179,0.0208186571321747,0.0267146609364795,0.0232595743799535,0.0256394955124319,0.0259919122966229,0.0276308201339996,0.0310054645239146,0.0317197228548758,0.0262585835577166,0.0473355909271515,0.27018952700306,0.41788246876637,0.192719710071417,0.260233782051809,0.176973399549148,0.222445008942524,0.216545812711813,0.216839598101314,0.0912636828750803,0.230173575769913,0.108649240294703,0.121852883916368,0.0900881951927555,0.186124546208597,0.0489567452638276,0.0429821239502575
skewness,-1.84909625347916,-1.624270838777919,-1.4055276832392471,-1.2701520878940094,-1.1498252227792576,-0.9928226842436456,-0.8382690985047221,-0.6495488371254899,-0.462388041287487,-0.2617781804919823,-0.0633404675630131,0.1420410452718545,0.3373524346147017,0.5256921797595675,0.932949338556908,-1.615818283989401,-1.4972754793343193,-1.6523401933798956,-0.9343311718136876,-1.029219905781689,-0.6565097372126624,-0.7103695281219489,-0.2600592300752425,-0.8490543308635934,-0.1550223277584051,0.0149322359883989,-0.1704498475688998,-0.0345026005635355,-0.0320521805215641,0.305861123958033,-0.0301434056640137,-0.0878918406429273,-0.565547937626342,-0.110869729749543,-0.746201909573006,-0.844741778398123,-0.843898820763321,-0.394242111872345,-0.798204191511044,-0.577096958651044,-0.665447335999111,-0.372846575984378,-1.05561183019704,-0.18088217350587,-0.422354254588353
kurtosis,2.4579998745492477,1.527616488759147,0.8001898915339707,0.3572317348304259,0.0296650937646529,-0.3480318666910906,-0.6708796692300796,-1.021519351253746,-1.2632588090220138,-1.449382688826683,-1.5515320597006046,-1.5230613783297406,-1.4069531908583752,-1.2051197502523283,-0.4704391106602847,2.0175988045900644,1.731311969600104,2.1474517764877064,0.4088551799287994,1.0724195826765728,-0.4301619735078299,0.4411904417692271,-0.8385683250899336,0.6013384022854305,-0.8957889508139756,-0.5519347926268354,0.2636843325354783,-0.55691647923901,-0.5227817596151665,-0.599152208316816,-1.18995411003572,-0.727609596388693,-0.172119606989722,-1.00823775459895,-0.826822060177936,-0.550494698884212,-0.55576700386813,-0.557989948894267,-0.789788423999077,-0.517481281177148,-0.740492899138644,-0.588709041803865,0.0415348989144077,-0.963299751152275,-0.970367761662194
