Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,126539.2100000116,126539.2100000116,126539.2100000116,126539.2100000116,126539.2100000116
vector sum y,-211678.02999996327,-211678.02999996327,-211678.02999996327,-211678.02999996327,-211678.02999996327
vector sum z,-461099.869999997,-461099.869999997,-461099.869999997,-461099.869999997,-461099.869999997
vector sum norm,522908.070473297,522908.070473297,522908.070473297,522908.070473297,522908.070473297
total N,7389.0,7389.0,7389.0,7389.0,7389.0
mean,1850.9912280701753,1082.1023391812867,499.0029239766082,279.92397660818716,182.19883040935673
median,1856.0,1086.5,500.0,280.0,182.0
variance,727.7806248076331,507.50707055162275,201.00291542696897,102.50299237372182,56.925378749016794
stdev,26.9774095273737,22.52791758133944,14.177549697566535,10.124376147384185,7.544890903718675
normalized stdev,0.014574574486503683,0.02081865713217472,0.028411756758024802,0.036168306373967354,0.04141020492155262
skewness,-0.5753274101846217,-1.029219905781689,-1.2579303093013816,-0.7186361787186741,-0.913252769018826
kurtosis,-0.2530603665382696,1.0724195826765728,3.122754209705759,1.896484306559592,5.780956730018099
bowley skewness,-0.1724137931034483,-0.08695652173913043,0.06666666666666667,0.07692307692307693,0.1111111111111111
moors kurtosis,2.788793103448276,2.5380434782608696,2.2,2.0288461538461537,2.3055555555555554
