Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-8502175.979999986,-8502175.979999986,-8502175.979999986,-8502175.979999986,-8502175.979999986
vector sum y,-14223694.400000012,-14223694.400000012,-14223694.400000012,-14223694.400000012,-14223694.400000012
vector sum z,-908969.5400000027,-908969.5400000027,-908969.5400000027,-908969.5400000027,-908969.5400000027
vector sum norm,16595984.586764602,16595984.586764602,16595984.586764602,16595984.586764602,16595984.586764602
total N,6389.0,6389.0,6389.0,6389.0,6389.0
mean,1601.7251461988303,937.1198830409356,432.69883040935673,243.0,158.0438596491228
median,1751.0,1109.5,580.0,344.0,225.0
variance,464978.6028179611,219679.43299647755,60469.88298108821,21277.912280701756,9463.33433364112
stdev,681.8933954937246,468.6997258335848,245.90624835714974,145.8695042862001,97.27967071100272
normalized stdev,0.4257243492193246,0.5001491637469727,0.5683080957822534,0.6002860258691363,0.6155232536523456
skewness,-0.503649289855167,-0.6495488371254899,-0.7286399032248234,-0.7532437017683875,-0.7665689685182975
kurtosis,-1.0156928416466873,-1.021519351253746,-1.123818540736083,-1.187040107744121,-1.2171786060172463
bowley skewness,-0.1559859880486297,-0.3637440758293839,-0.7478510028653295,-0.9027128157156221,-0.9136302294197031
moors kurtosis,1.9214918607047187,1.8748518957345972,1.8997134670487106,1.7315247895229187,1.5519568151147098
