Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-764.8298992004462,-764.8298992004462,-764.8298992004462,-764.8298992004462,-764.8298992004462
vector sum y,81.9491347300305,81.9491347300305,81.9491347300305,81.9491347300305,81.9491347300305
vector sum z,-130.07812768539912,-130.07812768539912,-130.07812768539912,-130.07812768539912,-130.07812768539912
vector sum norm,780.1286782935905,780.1286782935905,780.1286782935905,780.1286782935905,780.1286782935905
total N,5740.0,5740.0,5740.0,5740.0,5740.0
mean,1439.9590643274853,840.8304093567251,387.2046783625731,217.12865497076024,141.18421052631578
median,1337.0,812.5,383.5,213.0,145.0
variance,90217.79364590815,51612.374747785645,18932.905475188945,8300.410348483294,4292.2087565404745
stdev,300.36277007297053,227.18357059388262,137.59689486027273,91.10658784348854,65.51495063373302
normalized stdev,0.20859118673158336,0.2701895270030597,0.3553595877047459,0.41959725608652376,0.4640387929323122
