Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
vector sum x,6966.010000026199,-2857444.5100000137,-5166723.450000007,-6869724.890000016,-8355427.069999975,-9303953.88999999,-9428922.649999987,-8502175.979999986,-6654627.329999964,-4048084.490000018,-651863.4499999956,3097495.400000014,6111186.349999998,8233303.590000004,10290462.43999999,-66034.30999997677,-165421.57999996128,-83528.95999996891,-172684.29999994623,126539.2100000116,28215.919999992588,-300506.0799999808,-144960.23999999798,90644.75000000284,-16223.849999999456,328458.79999998776,86186.64999999845,-63484.320000003376,-345556.29999999906
vector sum y,-12411.909999979289,-1090238.3799999782,-2336205.379999988,-4025699.339999991,-5948600.430000025,-7891203.750000003,-11206798.240000002,-14223694.400000012,-16385220.200000009,-18383742.479999997,-19763100.260000017,-19216644.13000004,-17679517.019999985,-15667854.010000013,-10035522.469999986,-153091.48000000347,184291.9300000108,-138623.7799999861,-31742.06999999816,-211678.02999996327,96152.46000000516,-9244.31000001276,183596.2400000085,-340715.96999997017,481641.7099999714,-239707.56000001237,-125078.17000000068,31382.089999998243,-154714.5900000042
vector sum z,-559153.6999999979,210325.90999999992,443309.5199999987,1152899.3700000024,1096581.8,-435975.8999999994,-416947.46999999735,-908969.5400000028,-1574566.359999996,-1468591.1199999924,-604340.7000000019,-109274.67000000452,371316.50999999954,885957.6499999984,-300663.16000000096,-469585.6399999964,-521072.0399999971,-625828.8699999977,-279875.1699999992,-461099.869999997,-102436.76999999429,-469034.0,-231500.9999999992,-441044.08000000106,203934.6299999997,-98265.41999999918,-134934.24000000115,64829.29999999989,-227292.66999999984
vector sum norm,559334.820146981,3065590.618685333,5687654.184006223,8045405.657747066,10315110.287436392,12207568.537454167,14651646.812713215,16595984.586764602,17754964.520542257,18881359.47136429,19783080.789551843,19464989.861944184,18709617.75706532,17721564.77970763,14376916.4569704,498305.3327428583,576926.2391871001,646417.3683199075,330389.97753697773,522908.070473297,143299.42621493744,557119.6052378082,329110.56428500946,564644.7763139503,523288.910100105,418331.197003484,203174.64500559412,96010.0650823694,441596.7828962158
total N,9389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0
mean,231.5058479532164,221.39766081871343,210.453216374269,201.07894736842104,191.44152046783623,182.39766081871343,169.91228070175438,158.0438596491228,146.3830409356725,133.34795321637426,120.57309941520468,107.51169590643276,95.03801169590643,83.20760233918129,59.19883040935672,221.5672514619883,211.81578947368425,202.00292397660817,191.96783625730995,182.19883040935676,170.06432748538012,157.41228070175438,145.16959064327486,132.593567251462,120.30701754385964,108.22514619883042,96.140350877193,83.7046783625731,58.66959064327485
median,233.0,231.0,230.0,229.0,228.0,228.0,226.0,225.0,217.0,184.0,136.5,78.5,34.5,10.0,0.0,222.0,212.0,203.0,192.0,182.0,170.0,157.0,145.0,133.0,120.0,109.0,96.0,84.0,58.0
variance,41.30259738039055,1022.9471290311548,2473.5928405321297,3967.827100646352,5603.661784822681,6848.344789849868,8327.618036318867,9463.33433364112,9999.008250401834,10643.992963646935,11200.414247118772,10914.822962620978,10601.785104818577,9990.339942204442,8017.439998632058,47.24547724086044,50.711680517082186,60.78069320474676,64.1948719264047,56.9253787490168,80.63328887520946,57.07856263465681,62.98293492014637,60.59797031565268,68.68644198214837,60.02825655757327,56.641120344721465,52.05021203105228,53.48439690845046
stdev,6.426709685398163,31.98354466020229,49.735227359811375,62.99069058715226,74.85761006619622,82.75472669189276,91.25578357736492,97.27967071100272,99.99504112905716,103.1697289113766,105.83200955816145,104.47403008700763,102.9649702802782,99.9516880407952,89.54015858056125,6.873534552241695,7.12121341606065,7.796197355425705,8.012170238231631,7.544890903718675,8.97960404891048,7.555035581296544,7.936178861400893,7.784469815963877,8.287728396982395,7.747790430669461,7.526029520585304,7.21458328880139,7.313302736004469
normalized stdev,0.0277604636868477,0.144461980952867,0.2363243870379366,0.3132634789048273,0.3910207664631085,0.4537049780158275,0.5370758558502634,0.6155232536523456,0.6831053685583675,0.7736881326102576,0.8777414702903097,0.9717457175815662,1.0834082957220916,1.201232642581859,1.5125325612245355,0.0310223397496128,0.0336198421928568,0.0385944777528492,0.0417370450927637,0.0414102049215526,0.052801220465723,0.0479952107142828,0.0546683284442294,0.0587092569973679,0.0688881543752091,0.0715895584602425,0.0782816939184967,0.0861909206263344,0.1246523566266398
skewness,-4.138594497726042,-3.594948466115831,-2.423734163790568,-1.9666845397613828,-1.6510818347877558,-1.3541164105738557,-1.022762410394883,-0.7665689685182975,-0.5447202847244872,-0.2976521114498592,-0.0750817519278468,0.1564362091459354,0.3758847626616002,0.5862441142075562,1.0996462869109678,-3.946699198273712,-2.250144286013251,-1.4147846768417425,-0.7575284414576693,-0.913252769018826,-0.5821820612099782,-0.380043893378793,-0.2780558431208421,-0.2566842341359235,-0.3424973895042968,-0.3544297512096404,-0.1560015769704803,-0.4078001684144532,0.2476783577913289
kurtosis,42.89045353490303,13.6036868797921,4.924197718437456,2.512124771886689,1.165459783120748,0.1632433336451955,-0.7132132741353585,-1.2171786060172465,-1.5144359979957691,-1.7422302290502525,-1.851019704684708,-1.8166739041272264,-1.6977197460942215,-1.4786337739496251,-0.5441892022656267,38.90858172016824,18.80007010877121,9.767352823191464,4.1298086917433565,5.780956730018099,3.791341558500732,1.836942149504668,1.0263691906073609,1.741367883393643,0.4608092912765635,1.00961188037713,1.132798940982747,0.4515192523279676,-0.0147795579851024
bowley skewness,-0.4285714285714285,-0.2,-0.2307692307692307,-0.323943661971831,-0.7433155080213903,-0.8297872340425532,-0.8810408921933085,-0.9136302294197032,-0.8628571428571429,-0.5930735930735931,-0.1869565217391304,0.3114035087719298,0.6933333333333334,0.9065420560747663,1.0,0.0,0.1111111111111111,-0.2,0.0697674418604651,0.1111111111111111,-0.0909090909090909,0.1111111111111111,0.0909090909090909,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.0,0.2
moors kurtosis,2.142857142857143,2.4,6.307692307692308,7.26056338028169,3.831550802139037,3.00709219858156,1.8754646840148697,1.5519568151147098,1.5731428571428572,1.6764069264069263,1.9195652173913045,1.8464912280701755,1.6683333333333332,1.495911214953271,2.091216216216216,2.0,2.0,2.1375,2.058139534883721,2.305555555555556,2.363636363636364,2.4444444444444446,1.943181818181818,2.1125,2.090909090909091,2.0,2.1,2.0,2.2
